SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
lophozonia-menziesii,2-3mm,,,,5-6mm,5mm,,,6-15x5-15mm,,,,,,,,,2-3mm,,,,,30m,,,,
pisonia-brunoniana,,,,,10mm,25-40mm,,,100-600x50-200mm,,,,,,,20mm,,40mm,,16-20mm,,,8x2m,,,,
nestegis-apetala,,,,,2.5-2.9mm,10-18mm,,30-45mm,50-120x40-90mm; 50-80x40-70mm,,,,,,,,,8-15mm,,9.0-15x5.5-8.5mm,,,10m,,,,
nestegis-cunninghamii,,,,,,15-20mm,,10-25mm,100-300x5-10mm; 150-400x20-40mm,,,,,,,,,9-10mm,,10-18x6-9mm,,,25m,,,,
nestegis-lanceolata,2mm,,,,,10-18mm,,10-20mm,100-400x4-10mm; 40-80x10-30mm,,,,,,,,,5-10mm,,6.0-15x3.5-9.5mm,,,20m,,,,
nestegis-montana,,,,,,6-14mm,,,50-100x4-10mm; 40-80x4-8mm,,,,,,,,,2-3mm,,6.5-12.0x3.0-4.5mm,,,15m,,,,
fuchsia-excorticata,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuchsia-perscandens,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuchsia-procumbens,,,,,,15-25x5-10mm,,,5-20x5-20mm,,,,,,,5-8mm,,15-30mm,,,5-8mm,2-4mm,,,8-16mm,6-12mm,
epilobium-alsinoides,0.4-0.9x0.25-0.5mm,,,,,25-30mm; 10-60mm,,,3.0-8.0x2.0-5.5mm,,,,6-15mm,,,25-50mm,2.8-6.0x1.8-4.5mm; 0.7-2.0mm,1-2mm,,0.6-1.0x0.2-0.3mm,2.0-4.5x0.8-1.5mm,0.6-1.5mm; 0.3-0.8mm,200mm,1.0-1.5x0.4-0.65mm,1.0-1.7mm,0.5-1.5mm; 0.7-2.2mm,
epilobium-angustum,0.3-0.6mm; 0.5-1.3mm,,,,,7-13mm,,,,,,,4-7mm,,,2-6mm; 7-50mm,1.4-5.8mm; 2.9-8mm; 0.7-1.6mm,1.5mm; 1.5-12mm; 1-5mm,,0.4-0.5mm; 0.75-0.95mm,0.7-1.3mm; 1.1-4mm,0.6-3.5mm; 0.2-1.2mm,,0.45-1mm; 0.7-1.2mm,1.1-7mm,1.1-2.5mm; 0.6-3mm,
epilobium-astonii,2.7-2.9x0.8-1.0mm,,,,,2.9-4.2mm; 9mm,,,13-33x7-154mm,,,,12-35mm,,,2-8mm,7.3-13.0x7.0-8.0mm,2-6mm,,0.9-1.1x0.4-0.5mm; 3.5-5.0mm,1.8-2.8x2.2-3.2mm,2.0-3.6mm; 1.0-2.2mm,300x300mm,2.0-3.0x1.3-2.0mm,4.0-5.0mm,1.8-2.8x2.2-3.2mm,
epilobium-billardiereanum,0.5-1.0x0.3-0.65mm,,,,,30-75mm,,,5.0-40.0x6.0-20.0mm,,,,10-30mm,,,2-16mm; 6-12mm,3.7-7.0x3.0-5.0mm; 1.0-1.8mm,,,0.9-1.1x0.3-0.4mm,2.5-7.8x0.9-2.1mm,1.5-2.4mm; 0.8-1.4mm,1m; 0.95m,1.5-4.0x0.9-1.5mm,1.1-2.0mm,0.6-2.1mm; 1.4-2.8mm,
epilobium-brevipes,0.6-0.8x0.4-0.6mm,,,,,2.0-3.8mm,,,13-26x4-8mm,,,,9-11mm,,,1-3mm; 10mm,6.7-7.4x3.8-4.6mm; 1.7-2.0mm,3-9mm,,1.3-1.6x0.4-0.6mm,4.2-5.4x1.0-1.7mm,2.5-4mm; 1.0-2.6mm,400x400mm,1.7-2.0x0.6-1.2mm,2.4-4.0mm,0.8-1.2x1.2-2.0mm,
epilobium-brunnescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium-chionanthum,1.3-1.5x0.6-0.7mm,,,,,40-60mm; 12-28mm,,,12-40x7-15mm,,,,10-20mm,,,2-7mm,6.0-11.0x4.5-6.0mm; 0.8-1.3mm,,,1.4-1.8mm,4.0-5.2x1.5-1.7mm,2.0-3.5mm; 0.8-1.3mm,0.75m,1.0-2.0x0.9-2.0mm,5.2-9.0mm,1.0-1.7x1.4-1.8mm,
epilobium-chlorifolium,1.0-1.7x0.4-1.0mm,,,,,39-52mm; 15-25mm,,,10-30x12-20mm,,,,10-18mm,,,1-3mm,7-11x5-8mm; 1.2-1.6mm,0-2mm,,1.3-1.7mm,3.0-5.6x1.2-1.5mm,2.2-4.5mm; 1.4-2.5mm,70-450mm,1.2-2.2x0.5-0.8mm,3.3-5.2mm,0.9-1.4x1.2-2.4mm,
epilobium-cinereum,0.5-1.0x0.3-0.52mm,,,,,30-68mm,,,5.0-23.0x1.5-7.0mm,,,,10-24mm,,,0-15mm; 6-20mm,3.5-12.0x2.0-6.5mm; 0.8-1.5mm,,,0.8-1.0x0.3-0.4mm,2.5-7.5x0.8-1.7mm,1.5-5.0mm; 1.0-4.5mm,0.15-0.60m,1.5-4.0x0.9-1.5mm,2.5-9.0mm,0.6-1.2mm; 1.2-1.9mm,
epilobium-confertifolium,0.3-0.5x0.3-0.4mm,,,,,13-40mm; 60mm,,,4-16x2-7mm,,,,5-12mm,,,8mm,2.0-5.5x1.2-2.6mm; 0.3-1.3mm,,,0.8-0.9x0.4mm,1.8-3.3x0.7-1.1mm,0.8-1.5mm; 0.5-0.6mm,0.8-1.8mm,0.6-1.3x0.3-0.8mm,,0.4-1.0mx0.7-1.4mm,
epilobium-crassum,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium-forbesii,0.6-0.7x0.5-0.6mm,,,,,10-18mm,,6-32x3-13mm; 1.5-1.7mm,,,,,4-6mm,,,,,,,1.8-2.0x0.8-0.9mm,,2.1-2.5mm; 1.6-1.7mm,,2.0x0.7mm,,2x2.3mm,
epilobium-glabellum,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium-gracilipes,0.6-0.8x0.35-0.45mm,,,,,28-50mm; 17-60mm,,,5-18x3-10mm,,,,8-18mm,,,10-34mm,3.5-6.4x2.5-4.5mm; 0.7-1.8mm,1.2mm,,1.1-1.5mm,3.6-4.6x0.8-1.1mm,1.5-3.5mm; 1.0-1.5mm,200mm,1.0-1.5x0.7-0.8mm,2.2-3.6mm,0.5-1.5x0.9-1.4mm,
epilobium-gunnianum,,,,,,,,,10-60x2-20mm,,,,,,,,,1-3mm,,,,,0.8m,,,,
epilobium-hectorii,0.5-1.2x0.3-0.5mm,,,,,18-28mm; 13-27mm,,,3-20x1-4mm,,,,6-14mm,,,1-6mm,2.5-8.2x1.8-4.3mm; 0.9-1.4mm,0-3mm,,0.8-1.3mm,1.6-4.5x0.7-1.2mm,0.5-3.2mm; 0.3-1.5mm,50-250mm,0.8-1.9x0.4-0.6mm,0.8-4.9mm,0.6-1.3x1.2-2.0mm,
epilobium-hirtigerum,0.5-1.2x0.3-0.5mm,,,,16mm,6-15mm,,15-60x2-8mm,50-80x10-40mm,,,,14-30mm,,,0-70mm,2.8-8.0x1.8-5.2mm; 0.6-1.8mm,,,0.9-1.1x0.5mm,2.5-5.3x0.8-1.0mm,0.8-4.0mm; 0.3-0.5mm,0.2-1.8m,0.6-2.4x0.6-0.9mm,1.2-4.2mm,0.5-0.9mm,
epilobium-insulare,0.3-1.0x0.3-0.5mm,,,,,25-55mm; 5-65mm,,,4-26x4-14mm,,,,10-18mm,,,2-11mm,3.3-6.2x1.6-3.5mm; 0.7-2.0mm,10-30mm,,0.8-1.1mm,2.0-3.5x0.8-0.9mm,1.2-3.0mm; 0.45-1.5mm,30-400mm,0.8-1.8x1.0-1.7mm,1.7-2.3mm,0.9-1.2x1.3-1.7mm,
epilobium-komarovianum,0.35-0.8x0.25-0.6mm,,,,,4-30mm; 3-93mm,,,2.0-12.0x1.5-9.0mm,,,,2.5-12.0mm,,,1-7mm,2-4x0.9-2.5mm; 0.7-1.2mm,3mm,,0.5-0.9x0.25-0.4mm,1.5-2.5x6.5-1.0mm,0.3-1.2mm; 0.2-0.4mm,1m,0.6-1.1x0.5-0.8mm,1.1-1.8mm,0.4-1.0mm; 1.0-1.6mm,
epilobium-macropus,0.9-1.0x0.4-0.5mm,,,,,30-65mm; 10-120mm,,,6-15x3-8mm; 2-4m,,,,15-20mm,,,5-25mm,6.5-12.0x4.0-8.0mm; 1.5-3.0mm,2-3mm,,0.5-1.0mm,3.0-6.0x1.3-1.8mm,2.5-5.0mm; 1-3mm,20-200mm,1.2-2.7x0.7-1.6mm,4.5-9.0mm,1.3-2.0x1.5-2.2mm,
epilobium-margaretiae,,,,,,10-20mm,,,3-16x2-5mm,,,,5-8mm,,,10mm,7.0-9.0x3.5-4.6mm; 1.4-2.7mm,0-2mm,,1.5x0.6mm; 4-6mm,3.5-6.2x1.4-1.5mm,2.7-7.4mm; 1.3-4.0mm,,0.6-1.5x0.3-0.9mm,5.5-8.0mm,3.0-5.0x1.3-3.0mm,
epilobium-matthewsii,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium-melanocaulon,0.4-0.5x0.25-0.3mm,,,,,18-38mm; 9mm,,,3-12x1-4mm,,,,6-14mm,,,2mm,5.0-6.5x2.3-3.0mm; 0.5-1.0mm,1-2mm,,0.9-1.1mm,2-8-4.5x0.9-1.1mm,1.5-2.3mm; 0.8-1.5mm,0.1-0.3m,0.8-1.9mmx0.45-0.9mm,2.1-2.6mm,0.2-0.6x1.0-1.4mm,
epilobium-microphyllum,,,,,3-4mm,0.9-2.2cm,,,2-8x1-3mm,,,,,,,0.2-1.6cm,2.0-2.9x0.8-1.9mm,,,,,,120-150mm,,,0.4-0.6mm,
epilobium-nerteroides,0.4-0.7x0.2-0.5mm,,,,,15-42mm; 35-90mm,,,4-11x0.3-0.8mm,,,,,,,9-19mm,5-5.3x1.5-4.0mm; 0.6-1.0mm,1-6mm,,0.6-0.9mm,1.0-3.1x0.7-1.1mm,0.8-2.0mm; 0.7-1.5mm,0.4m,0.7-1.5x0.4-0.9mm,1.0-2.1mm,5-11x11-15mm,
epilobium-nummulariifolium,0.5-0.6x0.3-0.4mm,,,,,15-40mm; 23-130mm,,,3.0-13.0x3-11.0mm,,,,6-15-20mm,,,7-35mm,1.9-3.4x1.7-2.1mm; 0.6-0.8mm,1-7mm,,0.7-1.0x0.2-0.4mm,1.7-2.1x0.4-0.9mm,0.9-1.3mm; 0.4-1.0mm,1m,1.0-1.8x0.5-0.7mm,1.0-1.5mm,0.4-1.1mm; 0.6-11mm,
epilobium-pallidiflorum,1.2-1.5x0.6-0.8mm,,,,,45-95mm; 10-20mm,,30-800x5-13mm,,,,,15-30mm,,,4x10mm,7.5-14.0x5.0-10.0mm; 1.0-2.8mm,,,0.9-1.0x0.4-0.45mm; 5-7mm,4.5-8.0x1.3-2.0mm,3.0-6.5mm; 1.5-3.5mm,,2.5-4.4x1.0-1.8mm,4.5-9.15mm,1.3-2.0x1.5-2.8mm,
epilobium-pedunculare,0.2-0.25x0.1-0.15mm,,,,,20-50mm; 45-100mm,,,2.5-14x2.5-15mm,,,,8-25mm,,,3-50mm,3.0-5.0x1.9-2.6mm; 0.6-1.0mm,0-5mm,,0.6-1.0mm,1.7-3.5x0.6-1.0mm,0.5-2.0mm; 0.6-1.0mm,0.5m,1.2-1.9x0.5-0.9mm,0.7-1.8mm,0.7-0.9x0.9-1.5mm,
epilobium-pernitens,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium-petraeum,,,,,,35-55x1.4-1.8mm,,,15-24x4-7mm,,,,12-14mm,,,2-4mm; 10-24mm,5-6x1.9-2.1mm; 0.5-0.8mm,5-7mm,,1-1.1x0.4-0.45mm,4-4.5x1.2-1.4mm,2-2.5mm; 1-1.2mm,400x100mm,1x0.4mm,2.3mm,1-1.2mm; 2mm,
epilobium-pictum,0.5-0.7x0.4-0.5mm,,,,9mm,0.2-7.0mm,,,,,,,7-10mm,,,0-3mm,2.8-4.5x1.5-3.4mm; 0.6-0.9mm,8.0-22.0x2.5-6.0mm,,0.9-1.1x0.3-0.4mm,1.8-2.3x0.9-1.1mm,1.7-2.1mm; 1.0-1.3mm,400x400mm,1.0-1.9x0.4-0.5mm,1.2-2.0mm,0.6-0.9mm,
epilobium-porphyrium,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium-pubens,0.7-0.9x0.5-0.6mm,,,,,2.9-5.3mm,,,7-43x4-24mm,,,,10-27mm,,,1-3mm; 15mm,3.5-7.0x2.9-4.0mm; 0.6-2.0mm,2-18mm,,0.75-0.92x0.35-0.42mm; 4-5mm,2.5-2.8x1.0-1.1mm,1.7-2.7mm; 0.8-1.2mm,150-700mm,1.5-2.6x0.6-0.8mm,2.0-2.8mm,0.7-1.0x1.5-2.0mm,
epilobium-purpuratum,0.8-0.9x0.4-0.5mm,,,,,12-40mm; 10-65mm,,,4-16x3-8mm,,,,7-13mm,,,10-35mm,4.5-9x3-4mm; 1-1.8mm,1-17mm,,1-1.2x0.4-0.5mm; 4-6mm,3-4.4x1-1.3mm,2-2.8mm; 0.8-1.8mm,,1.5-2x0.6-0.8mm,1-1.4mm,2mm; 1.5-1.8mm,
epilobium-pycnostachyum,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium-rotundifolium,0.7-0.8x0.6-0.7mm,,,,,20-50mm; 15-42mm,,,3-25x3-20mm,,,,8-20mm,,,2-12mm,2.5-5.0x1.5-3.5mm; 0.5-0.9mm,1-8mm,,0.6-0.9mm,2.0-3.4x0.7-1.2mm,1.2-2.7mm; 0.7-1.1mm,100-400mm,1.0-1.5x0.7-0.8mm,1.4-2.7mm,05-1.5x0.9-2.0mm,
epilobium-tasmanicum,0.4-0.45x0.3-0.4mm,,,,,8-22mm; 2-40mm,,,6-20x2-55mm,,,,9-12mm,,,1.5-5.0mm,3.3-5.0x1.5-3.6mm; 0.5-1.1mm,1-2mm,,0.9-1.2mm,1.7-3.5x0.9-1.4mm,1.0-2.5mm; 0.5-1.8mm,150mm,0.9-2.2x0.5-0.7mm,1.0-1.6mm,0.5-1.1x1.2-2.2mm,
epilobium-wilsonii,1.6-2.2x0.6-1.0mm,,,,,19-55mm; 7-15mm,,,10-40x6-20mm,,,,10-24mm,,,4mm,10-18x6-15mm; 3-5mm,1-3mm,,1.4-2.2x0.5-0.6mm,5.0-10.5x1.5-3.0mm,1.5-8.0mm; 0.9-5.5mm,60-300mm,2.2-3.8x1.2-2.0mm,4.5-14.0mm,1.8-2.5x2.0-3.0mm,
acianthus-sinclairii,,,,,6-8mm,,,50mm,10-35mm,,,,,,,,,,,,,,100mm,,,,
adenochilus-gracilis,,,,,10-20mm,,,,10-30mm; 10-20mm,,,,,,,,,,,,,,200mm,,,,
aporostylis-bifolia,,,,,250mm,,,,100-200mm,,,,,,,,,,,,,,200mm,,,,
bulbophyllum-pygmaeum,,,,,1.5-2.0mm,,,,1.5mm; 4-10x2-4mm,,,,,,,0.5-0.7mm,,,,,,,,,,,
bulbophyllum-tuberculatum,,,,,10-20mm; 4mm,,,,50x5mm,,,,,,,,,,,,,,60mm,,,,
caladenia-alata,,,,,10mm,,,,60x3mm,,,,,,,,3mm,,,,3mm,,100mm,,,,
caladenia-atradenia,,,,,20mm; 0.5mm,18-24x5-6mm,,,100-160x1-3mm; 5-6x4-4.5mm,,1.5mm; 2mm; 0.3mm,,,,,,7-10x1.5-2mm,,,,7-10x2-3mm; 7-11x2-3mm,,,,,,
caladenia-bartlettii,,,,,20mm,,,,200x2mm,,,,,,,,,,,,,,300mm,,,,
caladenia-chlorostyla,1.3-1.5x1.2-1.5mm,,,,11-16mm; 0.5-0.7mm,10.0-12.0x2.5-3.5mm,,,50-150x1-3mm; 5.0-6.0x4.5mm,,1.8mm; 2.5mm,,6-10mm,,,,6.0-8.0x2.0-2.5mm,,,,6.0-8.0x1.5-2.0mm; 6.0-8.0x2.0-2.5mm,,10-300mm,1mm,,,
caladenia-lyallii,,,,,40mm,,,,180mm,,,,,,,,,,,,,,200mm,,,,
caladenia-minor,,,,,,,,,,,,,,,,,,,,,,,,,,,
caladenia-nothofageti,1.3x1.3mm,,,,14-16mm; 0.6mm; 0.2mm,10.2-12.0mm,,,40-180x1-3mm; 5.5-6.5x5.0-5.5mm; 1mm,,2.3mm; 3mm,,6-8mm,,,,8.0-9.0x2.2mm,,,,8.0-9.5x2.0-3.0mm; 8.0-9.5x2.3mm,,50-100mm,1mm,,,
caladenia-variegata,,,,,30mm,,,,300x4mm,,,,,,,,,,,,,,300mm,,,,
caleana-minor,,,,,10mm,,,,90x3mm; 6x4mm,,,,,,,,,,,,8mm,,200mm,,,,
calochilus-herbaceus,,,,,,,,,,,,,,,,,,,,,10-15mm,,300-700mm,,,,
calochilus-paludosus,,,,,,,,,,,,,,,,,,,,,10-15mm,,150-900mm,,,,
calochilus-robertsonii,,,,,,,,,,,,,,,,,,,,,10-15mm,,100-800mm,,,,
chiloglottis-cornuta,,,,,,,,,30-100x10-30mm,,,,,,,,,5-10mm,,,,,40-100mm; 300mm; 15mm,,,,
chiloglottis-formicifera,,,,,20mm,,,,60x25mm,,,,,,,,,,,,,,100mm; 20mm,,,,
chiloglottis-trapeziformis,,,,,,5-10mm,,,22-55x7-20mm,,,,11mm,,,,,,,,10-13mm; 9-12mm,,70-140mm,,,,
chiloglottis-valida,,,,,,10-20mm,,,20-50x9-30mm,,,,,,,,16-20mm,,,,19-25mm; 16-22mm,,40-100mm,,,,
corunastylis-pumila,,,,,,,,,,,,,,,,,,,,,3mm,,450mm,,,,
corybas-acuminatus,,,,,60mm,,,,40x20mm,,,,,,,,,,,,40mm,,60mm,,,,
corybas-carsei,,,,,8-10mm,,,,10-25mm,,,,,,,,4-5mm,,,,,,10-30mm,,,,
corybas-cryptanthus,,,,,,,,,1mm; 100-120mm; 10mm,,,,,,,,,,,,10-14mm,,280mm,,,,
corybas-dienemus,,,,,,,,,15-25mm,,,,,,,,,,,,,,50mm,,,,
corybas-hatchii,,,,,20mm,15mm,,,5-10mm; 15-28x11-20mm; 1.3-2.0mm; 20x10mm,,,,6.2-8.3mm; 8.8mm,,,,25-30mm,,,,18-24mm,,60mm; 180mm,,,1.5-2.0mm,
corybas-hypogaeus,,,,,6.9-9.2mm,,,,11.5-18.4mm,,,,,,,,9.2mm; 9.2mm,10-15mm,,,15mm,,,,,,
corybas-iridescens,1mm,,,,12-20mm,12-20x5-7mm,,,20-40x15-35mm; 10-20x10-15mm,,,,4-8mm; 3-5mm; 7-10mm,,,,40.0-60.0x0.5-1.0mm,3.0-10.0x1.5-3.0mm,,,20-35x8-12mm; 50.0-70.0x0.5-1.0mm,,,1mm,,5-7mm,
corybas-macranthus,,,,,,,,,40x40mm,,,,,,,,,60mm,,,,,40-100mm,,,,
corybas-oblongus,,,,,,,,,10-40mm,,,,,,,,,,,,,,20-30mm,,,,
corybas-orbiculatus,,,,,15-20mm,,,,15-25mm; 1.5-3.0mm; 15-20x4-10mm,,,,2.5-5.0mm; 2.5-6.8mm,,,,10-15mm,2.5-6.0x1.5-2.0mm,,,15-20mm,,30-35mm,,,3-8mm,
corybas-papa,1mm,,,,10-15mm,10-16x4-6mm,,,18-40x15-35mm; 6-8x8-10mm,,,,5-8x2-4mm; 3mm; 6-10x3-5mm,,,,40.0-60.0x0.5-1.0mm,,,,3.0-5.0x1.5-2.0mm; 15-20x5-8mm; 50.0-70.0x0.5-1.0mm,,,0.7mm,,8-10mm,
corybas-papillosus,,,,,12-18mm,,,,20-25mm,,,,,,,,30-48mm,6-55mm,,,17-20x5.8mm; 14-22mm,,90-100mm,,,,
corybas-rivularis,,,,,20mm,,,,20-30x15-25mm; 1.5-2.0mm; 20x10mm,,,,8.5-10.0mm; 8.8mm,,,,20-30mm,5-10mm,,,15-20mm,,40mm,,,1.5-3mm,
corybas-rotundifolius,,,,,8-10mm,,,,10-25mm,,,,,,,,4-5mm,,,,,,15-35mm,,,,
corybas-sulcatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
corybas-trilobus,,,,,,,,,10-30mm,,,,,,,,,10-24mm,,,,,20-50mm; 200mm,,,,
corybas-vitreus,,,,,0.7-8.1mm,,,,3.3-14.1x7.8-19.6mm; 1.2-2.6mm; 7mm,,,,4.5-8.4mm,,,,,3.3-24.7mm,,,12.0-26.7mm; 21.3-56.5mm,,14-30mm,,,,
corybas-walliae,,,,,2.7-11.6mm; 2.6-10.0x1.4-3.7mm,,,,6.4-14.0x9.3-23.5mm; 7mm,,,,3.0-9.0mm,,,,,5.5-28.8mm,,,9.4-25.0mm; 24.5-62.2mm,,13-34mm,,,,
cryptostylis-subulata,2m,,,,,,,,30-180x13-40mm,,,,15-20mm,,,,13mm,10-190mm,,,22mm,,0.25-1m,,,,
cyrtostylis-rotundifolia,,,,,8-10mm,,,30mm,10-40x8-17mm,,,,,,,,,,,,,,100mm,,,,
danhatchia-australis,,,,,6mm,,,,3-5mm; 10-15mm,,,,,,,,,,,,,,200mm,,,,
dendrobium-cunninghamii,,,,,20-25mm,,,,30-50x3mm,,,,,,,,,,,,,,,,,,
drymoanthus-adversus,,,,,,20x6mm,,,60x15-20mm,,,,,,,,2.5-3.5x1.5-1.8mm,,,,3.5-4.5x1.5-2.0mm,,,,,,
drymoanthus-flavus,,,,,,15x5mm,,50mm,30-50x15mm,,,,,,,,2.5-3x1.5mm,,,,3.5-4x1.5mm,,,,,,
earina-aestivalis,,,,,10-14mm,,,80mm; 20-40mm,5-12mm; 4-8mm; 60-100x6-8mm,,,,,,,,,,,,,,,,,,
earina-autumnalis,,,,,13-16mm,,,100mm; 10mm,5-14mm; 3-4mm; 40-120x5-8mm,,,,,,,,,,,,,,,,,,
earina-mucronata,,,,,10-12mm,,,100mm; 30-40mm,5-15mm; 2-3mm; 60-200x3-5mm,,,,,,,,,,,,,,,,,,
gastrodia-cooperae,,,,,,,,,,,,,3.7-4.6x6.1-6.7mm,,,1.6-5.3mm,,,,,3.0-3.4x1.3-1.8mm,,220-360-455-960mm; 5.4-7.8mm; 1.2-2.0mm,,,4.9-10.4x2.5-5.3mm,
gastrodia-cunninghamii,,,,,14-20x4-6mm,,,,,,,,,,,,,,,,,,1.4m,,,,
gastrodia-minor,,,,,6-10x2-4mm,,,,,,,,,,,,,,,,,,300mm,,,,
gastrodia-molloyi,,,,,,,,,,,,,3.4-4.3x6.2-8.7mm,,,1.1-6.6mm,,,,,2.7-4.4x1.3-2.0mm,,296-800mm; 6.8-7.9mm; 2.5-3.7mm,,,7.7-14.1x2.3-7.6mm,
gastrodia-sesamoides,,,,,10-16x4-8mm,,,,,,,,,,,,,,,,,,1m,,,,
microtis-oligantha,,,,,2.8mm; 1.8mm,,,200mm; 30x5mm,,,,,,,,,,,,,2.5mm,,150mm,,,,
microtis-parviflora,,,,,3mm; 2.2mm,,,400x8mm; 300x10mm,,,,,,,,,,,,,1.5-2.0mm,,100-400mm,,,,
microtis-unifolia,,,,,4mm; 2.5mm,,,800mm; 300x10mm,,,,,,,,,,,,,3mm,,1m,,,,
orthoceras-novae-zeelandiae,,,,,,,,200mm,10-20x3-6mm,,,,,,,,,,,,10-15x9-14mm; 20-50mmx0.5mm,,900mm,,,,
prasophyllum-colensoi,,,,,,,,100-300mm,,,,,,,,,,,,,5mm,,300mm,,,,
prasophyllum-hectorii,,,,,,,,,,,,,,,,,,,,,6-8mm,,0.15-1m,,,,
pterostylis-agathicola,1.8mm,,,,24-28mm,20-24x5-7mm,,,30-60x3-6mm; 40-100x5-8mm; 9.0-11.0x3.0-3.3mm,,3x1mm; 1mm,,9-12mm,,,10mm,17-22x3-4mm,,,,33-37x12-16mm,,60-100mm; 100-350mm,3.0-3.5x2.0mm,,,
pterostylis-alobula,,,,,,,,,5-15x4-15mm; 5-25x3-6mm,,,,,,,,,10mm,,,,,150mm; 20-25mm,,,,
pterostylis-alveata,,,,,30mm,,,,20-60x10-15mm,,,,,,,,,,,,20mm,,300mm,,,,
pterostylis-areolata,,,,,,,,,30-90x10-25mm,,,,,,,,,,,,,,70-250mm; 30-35mm,,,,
pterostylis-auriculata,,,,,,,,,125-180x10-12mm,,,,10mm,,,,,,,,15-18mm; 8-9mm,,380mm,,,,
pterostylis-australis,,,,,,,,,40-150x10-16mm,,,,,,,,,,,,,,100-250mm; 25-45mm,,,,
pterostylis-banksii,,,,,,,,,50-250x10-20mm,,20mm,,,,,,,,,,,,100-680mm; 25-50mm; 25mm,,,,
pterostylis-brumalis,,,,,,,,,5-12x5-12mm; 15-40x2-8mm,,,,,,,,,10mm,,,,,200mm; 15-30mm,,,,
pterostylis-cardiostigma,,,,,,,,,80-280x10-20mm,,,,,,,,60-65mm; 6mm,,,,70mm,,400mm; 10-30mm,,,,
pterostylis-cernua,,,,,14-18mm,,,,15-35x4-7mm; 20-65x5-7mm; 7-8x2-2.5mm; 3x2mm,,,,9-12mm,,,10-20mm,17-20x3-4mm,,,,25-28x11-13mm,,30-60mm; 60-120mm,,,,
pterostylis-foliata,,,,,,,,,80x25mm; 20-30mm,,,,,,,,,,,,20-30x20mm; 18mm,,150-400mm,,,,
pterostylis-graminea,,,,,,,,,80-150x5-10mm,,,,,,,,,,,,,,10-330mm; 18-30mm,,,,
pterostylis-humilis,,,,,,,,,40-90x15-25mm,,,,,,,,,,,,,,45-50mm; 20mm,,,,
pterostylis-irsoniana,,,,,,,,,,,,,,,,,,,,,,,350mm,,,,
pterostylis-irwinii,1.8mm,,,,35-45x10-12mm,,,,40-120x30-50mm; 60-170x4-5mm; 15.0-18.0x3.2-3.5mm,,3x1mm; 1.3mm,,10-13mm,,,20mm,30-33x3-4mm,,,,43-48x14-16mm,,60-100mm; 150-200mm,3-4x2mm,,,
pterostylis-micromega,,,,,,,,,35-50mm,,,,,,,,,5-10mm,,,25-40mm,,150-380mm,,,,
pterostylis-montana,,,,,,,,,,,,,,,,,,,,,,,30-350mm,,,,
pterostylis-nutans,,,,,,,,,15-30x10-20mm,,,,,,,,,,,,,,300mm; 25mm,,,,
pterostylis-oliveri,,,,,,,,,50-100x20-30mm,,,,,,,,,,,,,,100-380mm; 30-50mm,,,,
pterostylis-paludosa,1.4mm,,,,18-20x5-6mm,15-17x3.0-3.5mm,,,25-60x7-11mm; 50-80x7-11mm,,3.0x0.8mm; 1.2mm,,9-17mm,,,20-30mm,14-20x305mm,,,,24-26x13-16mm,,40-80mm; 80-900mm,3.0-3.3x2.0-2.2mm,,,
pterostylis-patens,,,,,,,,,50-180x10-20mm,,40mm,,,,,,,,,,,,100-480mm; 40-50mm; 30mm,,,,
pterostylis-porrecta,1mm,,,,18-22mm,8-14x4-6mm,,,40-70x4-6mm; 45-120x4-6mm; 8.0-9.0x2.3-2.5mm,,2.0x0.7mm; 0.8mm,,7-10mm,,,10mm,16-19x3.0-3.5mm,,,,19-22x9-11mm,,20-50mm; 60-200mm,5.0-5.5x1.0-1.4mm,,,
pterostylis-puberula,,,,,,,,,7x5mm,,,,,,,,,5-7mm,,,10-15mm,,200mm,,,,
pterostylis-silvicultrix,,,,,18-25mm,25-30x6-8mm; 50mm,,,30-80x10-20mm; 40-150x0.6-22mm; 12-14mm; 0.5-0.7mm,,3x1mm; 1mm,,10-15mm,,,5-30mm,20-25x10-16mm; 25-30x4-6mm,,,,,,20-150mm,5x1.5-2mm,,,
pterostylis-tanypoda,,,,,,,,,5-15x5-12mm,,,,,,,,,,,,5-10mm,,20-100mm,,,,
